id,additional_info,studioNumber,display_name,social_label,social_url,art_type,image,thumbs
a001,"No Divide - Stacy Busch, Lindsay Kinney",200,No Divide,"https://www.nodividekc.org/, https://www.instagram.com/nodividekc, https://www.facebook.com/nodividekc/",https://www.instagram.com/nodividekc,Non Profit,/assets/artists/a001.webp,/assets/artists/thumbs/a001.jpg
a002,Madeline Marak,202,Madeline Marak,madelinemarak.com                   instagram.com/madelinemarak,,Painter,/assets/artists/a002.webp,/assets/artists/thumbs/a002.jpg
a003,Christine Nelson,314,AnnMann Designs,instagram.com/annmanndesigns,,jewelry & crowns,/assets/artists/a003.webp,/assets/artists/thumbs/a003.jpg
a004,Gabrielle Mathews and Kyle Keister,316,Faye Moss Studio,@fayemossstudio,https://www.instagram.com/fayemossstudio,Acrylic/oil paintings and prints.,/assets/artists/a004.webp,/assets/artists/thumbs/a004.jpg
a005,Miller Bath & Ryan Jones,356,RJMB,https://www.instagram.com/mzacharyb?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,need description,/assets/artists/a005.webp,/assets/artists/thumbs/a005.jpg
a006,Lori Buntin,364,Lori Buntin Studio,https://www.instagram.com/loribuntinstudio/?hl=en,,Painter,/assets/artists/a006.webp,/assets/artists/thumbs/a006.jpg
a007,Holly Frakes,400,Holly Frakes Art,"https://www.hollyfrakes-art.com/, https://www.instagram.com/hollyfrakes.art/?hl=en",,"Media/product: Painting, Drawing, & Mixed Media works",/assets/artists/a007.webp,/assets/artists/thumbs/a007.jpg
a008,Kristyn Iman,418,Design Spout,"https://design-spout.com/,https://www.instagram.com/designspout",,Interior design services,/assets/artists/a008.webp,/assets/artists/thumbs/a008.jpg
a009,Ron Michka,428,"Ron Michka Studio, The Creative Department",instagram.com/Paintings_by_Ron,,"Painting, drawing, mixed media: still life, figure, portrait",/assets/artists/a009.webp,/assets/artists/thumbs/a009.jpg
a010,Gayla Hattaway,501,Gayla Hattaway,https://www.instagram.com/ghattaway1/,,"Handmade cards, magnets, 
acrylic painting",/assets/artists/a010.webp,/assets/artists/thumbs/a010.jpg
a011,Connie Wilson,501,Connie's Creations,conniescreations.info,,"Acrylic, oil, water color and small hand-made gift items",/assets/artists/a011.webp,/assets/artists/thumbs/a011.jpg
a012,Reeves W Wiedeman,503,Reeves W Wiedeman,instagram.com/reeves_wiedeman_painter,,"Pencil Sketcher, Watercolorist,
Acrylic/Oil Painter",/assets/artists/a012.webp,/assets/artists/thumbs/a012.jpg
a013,Michael Heule,503,Heule Arts,"HeuleArts.com
instagram.com/HeuleArts
facebook.com/HeuleArts",,"Contemporary, abstract, graphic and photographic arts in a wide range of media",/assets/artists/a013.webp,/assets/artists/thumbs/a013.jpg
a014,Diana Parrino,504,Diana Parrino Design LLC,"https://www.dparrinodesign.com/, https://www.instagram.com/dianaparrinoart/?hl=en",,need description,/assets/artists/a014.webp,/assets/artists/thumbs/a014.jpg
a015,Julia Pitt,505,Julia's Jewels,instagram.com/therapeutic_jewelry,,Beaded Gemstone Jewelry,/assets/artists/a015.webp,/assets/artists/thumbs/a015.jpg
a016,Charlene Pryor,508,PonyArt Studio  ,"charlenepryor.com
instagram.com/charlene.pryor",,"Oil, Acrylic, Pastel, Clay",/assets/artists/a016.webp,/assets/artists/thumbs/a016.jpg
a017,Laura Treas,516,Affirma Wear,https://www.instagram.com/a_f_f_i_r_m_a_w_e_a_r/,,Womenswear,/assets/artists/a017.webp,/assets/artists/thumbs/a017.jpg
a018,Sarah Nelsen,520,Sarah Nelsen,"sarah-nelsen.com
instagram.com/sarahnelsen
facebook.com/wearsarahnelsen",,Womenswear and Accessories,/assets/artists/a018.webp,/assets/artists/thumbs/a018.jpg
a019,Laura Laiben,524,Laura Laiben,Instagram.com/lauralaiben,,acrylic & gouache paintings; original art greeting cards; jewelry,/assets/artists/a019.webp,/assets/artists/thumbs/a019.jpg
a020,Jan Preston,524,Jan Preston,instagram.com/janpartist,,abstract mixed media painting,/assets/artists/a020.webp,/assets/artists/thumbs/a020.jpg
a021,Ellie Kort,526,Ellie Kort,elliekort.com,,"Abstract mixed media painting
",/assets/artists/a021.webp,/assets/artists/thumbs/a021.jpg
a022,Shelley A. Preston,528,Shelley A. Preston,"shelleyapreston.com
instagram.com/shelleyapreston_studio",,land | marks,/assets/artists/a022.webp,/assets/artists/thumbs/a022.jpg
a023,Nicole Pulliam,533,Cast Away Creations,https://www.instagram.com/castawaycreations/?hl=en,,need description,/assets/artists/a023.webp,/assets/artists/thumbs/a023.jpg
a024,"Elisabeth Sauer, Jim Gubar",534,Beth Sauer Art ,instagram.com/elisabeth.sauer,,Painters,/assets/artists/a024.webp,/assets/artists/thumbs/a024.jpg
a025,Jeff Widener,540,Jeff Widener,"instagram.com/studio7fineart, www.studio7fineart.com",,Drawing & Painting,/assets/artists/a025.webp,/assets/artists/thumbs/a025.jpg
a026,DJ Matheny,546,DJ Matheny Studio,"djmatheny.com 
facebook.com/djmatheny
instagram.com/djmatheny",,Landscape and Narrative Portrait Painting ,/assets/artists/a026.webp,/assets/artists/thumbs/a026.jpg
a027,Dean Kube,548,Dean Kube Studio,instagram.com/dean_kube,,Painter,/assets/artists/a027.webp,/assets/artists/thumbs/a027.jpg
a028,Cid Gillispie,561,Cid Gillispie Studio,cgillispie.com,,Acrylic Painter,/assets/artists/a028.webp,/assets/artists/thumbs/a028.jpg
a029,Erra Johnson,562,Erra Johnson,"TikTok @errajohnson
Instagram @errathecreator
",,"Water color, acrylic, spray paint, ink illustration, and planter/furniture upcycling. ",/assets/artists/a029.webp,/assets/artists/thumbs/a029.jpg
a030,Chris Cooch,607,Chris Cooch,Instagram: chriscoochart,,Mixed media artist,/assets/artists/a030.webp,/assets/artists/thumbs/a030.jpg
a031,Steve Snell ,608,Steve Snell,Steve Snell,,Painting,/assets/artists/a031.webp,/assets/artists/thumbs/a031.jpg
a032,John O'Brian,624,Hammer Out Design,"https://www.hammeroutdesign.com/, https://www.instagram.com/hammeroutdesign/",,need description,/assets/artists/a032.webp,/assets/artists/thumbs/a032.jpg
a033,Kelsey Jury,644,The Favorite Child Shop By Kelsey Jury,thefavoritechildshop.etsy.com,,original pet portrait prints and merchandise | custom portraits,/assets/artists/a033.webp,/assets/artists/thumbs/a033.jpg
a034,Erin Pech,644,Meadowbelle Market,"meadowbelle.com                                      etsy.com/shop/MeadowbelleMarket                          instagram.com/meadowbelle
facebook.com/meadowbelle",,"Minimalist handmade jewelry, personalized jewelry",/assets/artists/a034.webp,/assets/artists/thumbs/a034.jpg
a035,Courtney Adkins,644,Botanica Fina Therapeutics,Botanica Fina,,homegrown organic and wild foraged tea and spice blends,/assets/artists/a035.webp,/assets/artists/thumbs/a035.jpg
a036,"Jen Hayden, Debbie Jensen & Tim Reynolds",651,803 Watch Co,"@jenbhayden
@803WatchCo",,"Jen: painter/pastels
Debbie: painter/fiber artist 
Tim: Watch builder/photographer ",/assets/artists/a036.webp,/assets/artists/thumbs/a036.jpg
a037,Karen Hessing & Andrew Sellier,705,Studio 705,Website: https://someartwemade.com/ ,,Media/Product: Fine Art,/assets/artists/a037.webp,/assets/artists/thumbs/a037.jpg
a038,Kelly Conner & Louise Partain,726,Alloy: A Metalsmithing Community,"www.alloymetalsmithing.com
Instagram: @alloy_metalsmithing
Facebook: AlloyMetalsmithing",,"Community, Membership, Workshops, and Lessons for Metalsmiths and Jewelers",/assets/artists/a038.webp,/assets/artists/thumbs/a038.jpg
a039,Tim Sella,731,Tim Sella Art,https://www.instagram.com/timsellart/,,need description,/assets/artists/a039.webp,/assets/artists/thumbs/a039.jpg
a040,Justin Gainan,738,Justin Gainan Studio,"https://www.instagram.com/jgain/?hl=en, https://justingainan.com/, Justin Gainan Studio",,Visual artis: drawing + other,/assets/artists/a040.webp,/assets/artists/thumbs/a040.jpg
a041,Marcy Lally,748,"Marcy Lally Art 
","marcylally.com
instagram.com/marcylallyart",,"Sculptural ceramics, original mixed media 3D art, archival mono prints.",/assets/artists/a041.webp,/assets/artists/thumbs/a041.jpg
a042,New Material Books - Hannah Risinger and Brandan Griffin,750,New Material Books,"https://www.instagram.com/newmaterialbooks/, https://www.instagram.com/newmaterialbooks/, newmaterialbooks.com",,"Independent bookstore, poetry readings + workshops",/assets/artists/a042.webp,/assets/artists/thumbs/a042.jpg
a043,Andrea Cira,755,Andrea Cira Studio,"https://www.acirastudio.com/, https://www.instagram.com/acirastudio/, https://www.tiktok.com/@acirastudio",,Paper Artist,/assets/artists/a043.webp,/assets/artists/thumbs/a043.jpg
a044,Kaitlin Keselis,808,Saint Rose,dummy url,,"Massage Therapy, Permanent Makeup, Full Body Waxing and Brow Lamination and Tinting",/assets/artists/a044.webp,/assets/artists/thumbs/a044.jpg